Annotation Cluster 1	Enrichment Score: 2.8037566134798046
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	hydrolase	33	23.741007194244602	1.5203906892473099E-5	CG4467, CG12582, JON25BIII, CG31202, CG8952, CG8299, CG6295, MDR50, JON25BI, CG31198, CG34290, CG6271, MDR49, AMY-P, CG31148, CG4757, AMON, CG1304, CG6283, CG16749, CG8093, LIP3, CHT8, CG31030, CG31233, CG15533, CG31343, PGRP-SC1B, JON65AII, CG12374, CG17571, AMYREL, CG31619	131	1470	12980	2.224334008412525	0.0013826093588092947	0.0013826093588092947	0.01657392657352652
GOTERM_BP_FAT	GO:0006508~proteolysis	19	13.66906474820144	4.318327406374307E-5	CG4467, PHYL, AMON, JON25BIII, CG1304, CG8952, CG16749, CG8299, 7B2, CG3734, CG31198, JON25BI, CG31233, CG34290, CG31343, JON65AII, CG12374, CG17571, CG31619	71	731	7937	2.9055894876784647	0.020303547928460675	0.020303547928460675	0.06171938321772874
SP_PIR_KEYWORDS	Serine protease	8	5.755395683453238	4.1149969739218476E-4	AMON, JON25BI, CG34290, JON65AII, CG8952, CG16749, CG8299, CG17571	131	135	12980	5.871642635001414	0.03676144691288952	0.01855282715415063	0.4477007307810199
GOTERM_MF_FAT	GO:0070011~peptidase activity, acting on L-amino acid peptides	17	12.23021582733813	6.85687240825579E-4	CG4467, AMON, JON25BIII, CG1304, CG8952, CG16749, CG8299, CG3734, CG31198, JON25BI, CG31233, CG34290, CG31343, JON65AII, CG12374, CG17571, CG31619	86	612	7918	2.5574935400516794	0.14183655500180647	0.14183655500180647	0.871223281676059
GOTERM_MF_FAT	GO:0008233~peptidase activity	17	12.23021582733813	0.0012666240308381635	CG4467, AMON, JON25BIII, CG1304, CG8952, CG16749, CG8299, CG3734, CG31198, JON25BI, CG31233, CG34290, CG31343, JON65AII, CG12374, CG17571, CG31619	86	648	7918	2.415410565604364	0.24620602693565463	0.0899102559770435	1.6038725480326366
INTERPRO	IPR018114:Peptidase S1/S6, chymotrypsin/Hap, active site	9	6.474820143884892	0.001483098824834613	JON25BI, CG34290, JON25BIII, CG1304, JON65AII, CG8952, CG16749, CG8299, CG17571	117	191	10196	4.1063229963753525	0.24572476457025072	0.03948475076712166	1.8277478602888309
GOTERM_MF_FAT	GO:0008236~serine-type peptidase activity	11	7.913669064748201	0.0016118247271938561	AMON, JON25BI, CG34290, JON25BIII, CG1304, JON65AII, CG8952, CG16749, CG8299, CG17571, CG3734	86	308	7918	3.2882059800664454	0.30213311282809086	0.08600641405291853	2.0368557876189075
GOTERM_MF_FAT	GO:0017171~serine hydrolase activity	11	7.913669064748201	0.0016915001285583127	AMON, JON25BI, CG34290, JON25BIII, CG1304, JON65AII, CG8952, CG16749, CG8299, CG17571, CG3734	86	310	7918	3.2669917479369843	0.3144431900206369	0.072724703638263	2.136542442533207
INTERPRO	IPR001314:Peptidase S1A, chymotrypsin	9	6.474820143884892	0.0026870357865473476	JON25BI, CG34290, JON25BIII, CG1304, JON65AII, CG8952, CG16749, CG8299, CG17571	117	210	10196	3.7347985347985353	0.4002389457306269	0.04541148354818736	3.2888160436006952
GOTERM_MF_FAT	GO:0004252~serine-type endopeptidase activity	10	7.194244604316546	0.0029727313032065733	AMON, JON25BI, CG34290, JON25BIII, CG1304, JON65AII, CG8952, CG16749, CG8299, CG17571	86	280	7918	3.288205980066445	0.4851637437469528	0.0904849815273302	3.7267823597141425
