Annotation Cluster 1	Enrichment Score: 4.535877816288609
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0004656~procollagen-proline 4-dioxygenase activity	10	1.8181818181818181	5.097452003034203E-8	CG18234, CG4174, CG32199, CG32201, CG34345, CG15864, CG18233, PH4ALPHASG1, CG13380, CG11828, CG18231	250	26	7918	12.181538461538462	1.763702885237972E-5	1.763702885237972E-5	6.959761443825485E-5
GOTERM_MF_FAT	GO:0019798~procollagen-proline dioxygenase activity	10	1.8181818181818181	5.097452003034203E-8	CG18234, CG4174, CG32199, CG32201, CG34345, CG15864, CG18233, PH4ALPHASG1, CG13380, CG11828, CG18231	250	26	7918	12.181538461538462	1.763702885237972E-5	1.763702885237972E-5	6.959761443825485E-5
GOTERM_MF_FAT	GO:0031545~peptidyl-proline 4-dioxygenase activity	10	1.8181818181818181	7.437994665557641E-8	CG18234, CG4174, CG32199, CG32201, CG34345, CG15864, CG18233, PH4ALPHASG1, CG13380, CG11828, CG18231	250	27	7918	11.730370370370371	2.5735131342519146E-5	1.2867648459424785E-5	1.0155399358113826E-4
GOTERM_MF_FAT	GO:0031418~L-ascorbic acid binding	10	1.8181818181818181	7.437994665557641E-8	CG18234, CG4174, CG32199, CG32201, CG34345, CG15864, CG18233, PH4ALPHASG1, CG13380, CG11828, CG18231	250	27	7918	11.730370370370371	2.5735131342519146E-5	1.2867648459424785E-5	1.0155399358113826E-4
GOTERM_MF_FAT	GO:0031543~peptidyl-proline dioxygenase activity	10	1.8181818181818181	7.437994665557641E-8	CG18234, CG4174, CG32199, CG32201, CG34345, CG15864, CG18233, PH4ALPHASG1, CG13380, CG11828, CG18231	250	27	7918	11.730370370370371	2.5735131342519146E-5	1.2867648459424785E-5	1.0155399358113826E-4
GOTERM_BP_FAT	GO:0055114~oxidation reduction	37	6.7272727272727275	1.5650013665994852E-6	DESAT2, CG3215, CG13611, CG11828, CYT-C-D, CG10396, CG5948, CG4174, CG32199, ZW, CG14508, CG13334, CG7848, SAD, CG5718, CG32201, CG31644, CG6485, CYP313A2, CG10748, CG10749, CG6661, CG2014, CG13380, CG4434, CG7311, CYP316A1, CG18516, CG18234, CG11043, CG3483, CG34345, CG13889, CG15864, CG18233, CG7755, PH4ALPHASG1, CG18231	201	620	7937	2.356515808056492	0.0011120980025285387	2.7814052234131914E-4	0.0023650180592027503
GOTERM_MF_FAT	GO:0005506~iron ion binding	25	4.545454545454546	1.9259432091684355E-6	DESAT2, PPD5, CG11828, CYT-C-D, CG4174, PP1-Y2, CG32199, C-CUP, CG14508, SAD, PPY-55A, CG32201, CYP313A2, CG13380, CG2014, GLOB2, PPN58A, CYP316A1, CG18516, CG18234, CG34345, CG15864, CG18233, PP1-13C, PH4ALPHASG1, CG18231	250	260	7918	3.045384615384616	6.661550122256665E-4	2.2210099594233146E-4	0.002629538497500583
SMART	SM00702:P4Hc	8	1.4545454545454546	2.1847706100238085E-6	CG4174, CG32199, CG32201, CG34345, CG15864, CG18233, PH4ALPHASG1, CG13380, CG18231	132	24	4824	12.181818181818182	1.6384455075990623E-4	1.6384455075990623E-4	0.002292902220524251
GOTERM_MF_FAT	GO:0016706~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	10	1.8181818181818181	3.032540813617539E-6	CG18234, CG4174, CG32199, CG32201, CG34345, CG15864, CG18233, PH4ALPHASG1, CG13380, CG11828, CG18231	250	40	7918	7.918	0.00104871043091892	2.6228077649692594E-4	0.004140374933636615
INTERPRO	IPR013547:Prolyl 4-hydroxylase alpha-subunit, N-terminal	8	1.4545454545454546	7.817433442821155E-6	CG18234, CG4174, CG32199, CG34345, CG15864, CG18233, PH4ALPHASG1, CG13380, CG18231	333	24	10196	10.206206206206206	0.0033792393867003723	0.0033792393867003723	0.011028966832127285
