Annotation Cluster 1	Enrichment Score: 5.829220368596905
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0015630~microtubule cytoskeleton	65	3.9828431372549016	1.3552789267667792E-15	CG9279, AUR, ALPHATUB84B, GRIP71, ALPHATUB84D, JAR, FZY, CG10822, BETATUB85D, GAMMATUB23C, SAS-6, ROD, TEKTIN-A, AUST, CYCB, CG32392, STAI, KLP67A, KLP3A, CHB, CMET, SAK, DHC16F, KLP59D, ALPHATUB85E, KLP10A, CG3121, SSP3, IAL, NCD, PAV, JUPITER, CG7716, CG10839, CG8407, CDLC2, CG9313, ASP, CG32819, CG1890, CG17150, CG7276, DGT5, CG16837, DGT6, KLP61F, DGT2, MARS, CG18109, SPINDLY, MUD, CG6971, DHC36C, DHC62B, DRP1, CG14838, CG3085, GAS8, BORR, NEB, ROBL22E, ANA2, GAMMATUB37C, CG10859, KAT-60L1	495	220	4786	2.8566574839302112	5.502265310042276E-13	5.502265310042276E-13	1.865174681370263E-12
GOTERM_CC_FAT	GO:0044430~cytoskeletal part	73	4.473039215686274	9.71439928169104E-14	CG34435, CG9279, AUR, ALPHATUB84B, GRIP71, CG17237, DIDUM, ALPHATUB84D, JAR, SEP5, ARP53D, FZY, CG10822, BETATUB85D, GAMMATUB23C, SAS-6, ROD, TEKTIN-A, AUST, CYCB, CG32392, STAI, KLP67A, KLP3A, CHB, CMET, DHC16F, SAK, KLP59D, ALPHATUB85E, KLP10A, CG3121, SSP3, IAL, NCD, SCRA, PAV, JUPITER, STI, CG7716, CG10839, CG8407, CDLC2, CG9313, ASP, CG32819, CG1890, CG17150, CG7276, DGT5, CG16837, DGT6, KLP61F, DGT2, MARS, CG18109, SPINDLY, MUD, CG6971, DHC36C, DHC62B, DRP1, CG14838, CG3085, GAS8, BORR, NEB, ROBL22E, ANA2, ACT42A, GAMMATUB37C, CG10859, KAT-60L1	495	287	4786	2.459282722697357	4.0120684552391594E-11	2.0060286765044566E-11	1.3612444504929044E-10
GOTERM_BP_FAT	GO:0007017~microtubule-based process	88	5.392156862745098	1.8832796681766222E-13	CG9279, AUR, THR, MAEL, GRIP71, ALPHATUB84B, CAP-G, ALPHATUB84D, JAR, CG10822, BETATUB85D, GAMMATUB23C, SAS-6, TEKTIN-A, CYCB, ORC5, CG32392, STAI, KLP67A, CHB, KLP3A, CG5525, DPA, FMR1, SPN-F, BALL, CMET, SPN-D, DHC16F, SAK, CG16941, TUM, KLP59D, ALPHATUB85E, KLP10A, CG3121, SSP3, CYCB3, IAL, NCD, SSP5, PAV, CG7716, CG10839, CG8407, CDLC2, CEP97, CG9313, ASP, CG32819, NNP-1, MIRO, CID, CG17150, CG7276, BUB1, DGT5, DGT6, TWE, CG16837, KLP61F, DGT2, BUB3, DGT3, CG18109, MUD, SPC105R, CG6971, DHC36C, DHC62B, SPD-2, CG14838, GLU, CG3085, MIS12, BORR, NEB, LKB1, ROBL22E, ARMI, ANA3, ANA2, MSD5, GAMMATUB37C, ENDOS, KAT-60L1, CG10859, MSD1	765	406	7937	2.2488038893718403	3.4984992680620053E-10	3.4984992680620053E-10	3.209543741888865E-10
GOTERM_CC_FAT	GO:0005856~cytoskeleton	77	4.7181372549019605	5.87922402633331E-11	CG34435, CG9279, AUR, ALPHATUB84B, GRIP71, CG17237, DIDUM, ALPHATUB84D, JAR, SEP5, ARP53D, FZY, CG10822, BETATUB85D, GAMMATUB23C, SAS-6, ROD, TEKTIN-A, AUST, CYCB, CG32392, STAI, KLP67A, KLP3A, CHB, CMET, DHC16F, SAK, KLP59D, ALPHATUB85E, KLP10A, CG3121, SSP3, IAL, LASP, NCD, SCRA, PAV, JUPITER, STI, CG7716, CG10839, CG8407, CDLC2, CAPU, CG9313, ASP, CG32819, CG1890, CG17150, CG7276, DGT5, CG16837, DGT6, KLP61F, DGT2, MARS, CG18109, SPINDLY, MUD, CG6971, DHC36C, DHC62B, DRP1, CG14838, CG3085, GAS8, SPIR, BORR, ARPC3A, NEB, ROBL22E, ANA2, ACT42A, GAMMATUB37C, CG10859, KAT-60L1	495	351	4786	2.12105096549541	2.4281175514673237E-8	8.093725245572614E-9	8.238529858317634E-8
GOTERM_CC_FAT	GO:0005875~microtubule associated complex	37	2.267156862745098	3.410645668025962E-10	CG9279, CG9313, ASP, JAR, CG10822, CG17150, TEKTIN-A, AUST, CG7276, CG16837, KLP61F, CG32392, STAI, KLP67A, CG6971, CHB, KLP3A, DHC36C, DHC62B, CG14838, DRP1, CMET, DHC16F, KLP59D, KLP10A, CG3121, BORR, NEB, NCD, ROBL22E, JUPITER, PAV, KAT-60L1, CG10859, CG10839, CG8407, CDLC2	495	115	4786	3.110794905577514	1.4085967858790127E-7	3.521492153435446E-8	4.779326712167631E-7
GOTERM_BP_FAT	GO:0022403~cell cycle phase	92	5.637254901960785	4.5254769453315035E-10	E2F2, AUR, THR, MAEL, GRIP71, ALPHATUB84B, NNF1A, CDC16, CAP-G, JAR, FZY, SAS-6, ROD, BOL, VLS, CYCA, C-CUP, AUST, CYCB, ORC5, CAN, KLP67A, CYCJ, CHB, KLP3A, CG5525, DPA, BALL, CMET, SPN-D, MCM2, SAK, CG16941, TUM, ALPHATUB85E, MR, KLP10A, MCM5, SSP3, CYCB3, IAL, NCD, SCRA, MUS312, PAV, SSP5, REV7, TOPI, MIA, MEI-S332, SUNZ, DHD, CONA, ASP, NNP-1, OAF, CID, WA-CUP, BUB1, DGT5, DGT6, TWE, KLP61F, PIM, ZWILCH, MEI-218, DGT2, ERCC1, BUB3, DGT3, MSH6, MUD, HD, SPC105R, SCA, SPD-2, GLU, CDC27, MIS12, MUS301, RCA1, BORR, NEB, LKB1, ANA3, ANA2, CDC2C, MSD5, GAMMATUB37C, ENDOS, MSD1, CSUL	765	496	7937	1.924425469112376	8.408332101694782E-7	4.2041669345849186E-7	7.713827798738748E-7
GOTERM_BP_FAT	GO:0000279~M phase	89	5.453431372549019	7.570657148113604E-10	AUR, THR, MAEL, GRIP71, ALPHATUB84B, NNF1A, CDC16, CAP-G, JAR, FZY, SAS-6, ROD, BOL, VLS, CYCA, C-CUP, AUST, CYCB, ORC5, CAN, KLP67A, CYCJ, CHB, KLP3A, CG5525, DPA, BALL, CMET, SPN-D, MCM2, SAK, CG16941, TUM, ALPHATUB85E, MR, KLP10A, MCM5, SSP3, CYCB3, IAL, NCD, SCRA, MUS312, PAV, SSP5, REV7, TOPI, MIA, MEI-S332, SUNZ, DHD, CONA, ASP, NNP-1, OAF, CID, WA-CUP, BUB1, DGT5, DGT6, TWE, KLP61F, PIM, ZWILCH, MEI-218, DGT2, ERCC1, BUB3, DGT3, MSH6, MUD, SPC105R, SCA, SPD-2, GLU, CDC27, MIS12, MUS301, BORR, NEB, LKB1, ANA3, ANA2, CDC2C, MSD5, GAMMATUB37C, ENDOS, MSD1, CSUL	765	478	7937	1.9317772855306699	1.4066271625257087E-6	4.6887594074007666E-7	1.2904441293315472E-6
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	72	4.411764705882353	1.453665158252794E-9	E2F2, AUR, THR, GRIP71, ALPHATUB84B, NNF1A, CDC16, CAP-G, JAR, SAS-6, ROD, VLS, CYCA, CYCB, PPD3, ORC5, KLP67A, CYCJ, KLP3A, CHB, CG5525, DPA, FMR1, BALL, CMET, MCM2, SAK, CG16941, TUM, ALPHATUB85E, MR, KLP10A, SSP3, CYCB3, IAL, NCD, SCRA, SSP5, PAV, REV7, MEI-S332, ASP, NNP-1, CID, BUB1, DGT5, DGT6, TWE, KLP61F, PIM, ZWILCH, DGT2, BUB3, DGT3, HD, SPC105R, SPD-2, GLU, CDC27, MIS12, RCA1, BORR, NEB, LKB1, ANA3, ANA2, CDC2C, MSD5, GAMMATUB37C, ENDOS, MSD1, CSUL	765	358	7937	2.086625041077884	2.7009062741889522E-6	6.752272524446212E-7	2.477821392510293E-6
GOTERM_BP_FAT	GO:0022402~cell cycle process	96	5.88235294117647	3.6779143460434677E-9	E2F2, AUR, THR, MAEL, GRIP71, ALPHATUB84B, NNF1A, CDC16, CAP-G, JAR, FZY, SAS-6, ROD, BOL, VLS, CYCA, C-CUP, AUST, CYCB, ORC5, CAN, KLP67A, CYCJ, CHB, KLP3A, CG5525, DPA, BALL, CMET, SPN-D, MCM2, SAK, CG16941, TUM, ALPHATUB85E, MR, KLP10A, MCM5, SSP3, CYCB3, IAL, NCD, SCRA, MUS312, PAV, SSP5, REV7, STI, TOPI, CEP97, MIA, MEI-S332, SUNZ, DHD, CONA, ASP, NNP-1, OAF, CID, AGO, TRF4-2, WA-CUP, BUB1, DGT5, DGT6, TWE, KLP61F, PIM, ZWILCH, MEI-218, DGT2, ERCC1, BUB3, DGT3, MSH6, MUD, HD, SPC105R, SCA, SPD-2, GLU, CDC27, MIS12, MUS301, RCA1, BORR, NEB, LKB1, ANA3, ANA2, CDC2C, MSD5, GAMMATUB37C, ENDOS, MSD1, CSUL	765	547	7937	1.8208696275585188	6.8335414451503596E-6	1.3667120248861409E-6	6.269128993707795E-6
GOTERM_BP_FAT	GO:0007049~cell cycle	104	6.372549019607843	6.296658620226362E-9	MAEL, CDC16, CAP-G, JAR, SEP5, FZY, SAS-6, ROD, VLS, C-CUP, PPD3, ORC5, KLP3A, CHB, CG5525, FMR1, BALL, SPN-D, SAK, TUM, MR, SSP3, MUS312, SSP5, TOPI, CEP97, ASP, WA-CUP, KLP61F, PIM, PONT, MUD, HD, SPC105R, SCA, SPD-2, GLU, CDC27, RCA1, LKB1, CDC2C, MSD5, GAMMATUB37C, MSD1, E2F2, AUR, THR, GRIP71, ALPHATUB84B, NNF1A, BOL, CYCA, AUST, CYCB, CYCH, CAN, KLP67A, CYCJ, DPA, CMET, MCM2, CG16941, ALPHATUB85E, KLP10A, MCM5, CYCB3, IAL, NCD, SCRA, PAV, REV7, STI, MIA, MEI-S332, SUNZ, DHD, CONA, NNP-1, OAF, CID, AGO, TRF4-2, BUB1, DGT5, TWE, DGT6, ZWILCH, MEI-218, DGT2, ERCC1, DGT3, BUB3, MARS, MSH6, MIS12, SLBP, MUS301, BORR, NEB, ANA3, ANA2, ENDOS, SELD, CSUL	765	616	7937	1.7516509634156692	1.1699123352748586E-5	1.9498633969661228E-6	1.0732866817519948E-5
