Annotation Cluster 1	Enrichment Score: 6.640807009536552
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR007110:Immunoglobulin-like	38	4.947916666666666	3.4713861893630683E-15	CG14964, CG14521, IMPL2, VN, CG12484, BT, DPR18, DPR9, CG14010, DPR, CG6044, UNC-89, CG17839, TUTL, STRN-MLCK, CG16857, DPR20, CG34391, WRAPPER, ROBO3, CG42313, SLS, BSG, CG13506, KLG, CG13532, CG12950, HTL, HIG, ZORMIN, NRM, CG42343, CG5597, BEAT-VC, BEAT-VA, BEAT-VB, KEK4, CG31619	642	132	10196	4.571981497215142	3.1009639300805247E-12	3.1009639300805247E-12	5.362377208939506E-12
INTERPRO	IPR013783:Immunoglobulin-like fold	32	4.166666666666666	3.2413756802490943E-12	CG14964, CG5984, CG14521, IMPL2, VN, CG12484, BT, CG14010, DPR9, DPR, CG17839, CG11619, UNC-89, TUTL, STRN-MLCK, CG16857, DPR20, CG34391, WRAPPER, ROBO3, CG42313, SLS, BSG, CG13506, KLG, CG12950, HTL, ZORMIN, NRM, CG42343, KEK4, CG31619	642	117	10196	4.3436909231301755	2.920507835568742E-9	1.460253917784371E-9	5.053257812193124E-9
INTERPRO	IPR003599:Immunoglobulin subtype	29	3.7760416666666665	3.801670864755503E-12	CG14964, CG14521, DPR18, CG12484, BT, CG14010, DPR9, DPR, CG17839, UNC-89, TUTL, STRN-MLCK, CG16857, DPR20, CG34391, WRAPPER, ROBO3, CG42313, SLS, BSG, CG13506, CG12950, HTL, HIG, ZORMIN, CG42343, NRM, BEAT-IIA, BEAT-VB	642	97	10196	4.748113177248932	3.4252647385102364E-9	1.1417549128367455E-9	5.926625856744749E-9
SMART	SM00409:IG	29	3.7760416666666665	1.5382070349050317E-11	CG14964, CG14521, DPR18, CG12484, BT, CG14010, DPR9, DPR, CG17839, UNC-89, TUTL, STRN-MLCK, CG16857, DPR20, CG34391, WRAPPER, ROBO3, CG42313, SLS, BSG, CG13506, CG12950, HTL, HIG, ZORMIN, CG42343, NRM, BEAT-IIA, BEAT-VB	328	97	4824	4.397032939401559	2.5226527533561693E-9	2.5226527533561693E-9	1.8651935551616816E-8
INTERPRO	IPR013151:Immunoglobulin	24	3.125	6.136053016040172E-10	CG14521, BSG, CG13506, KLG, VN, DPR18, CG12484, BT, CG12950, HTL, CG14010, DPR9, DPR, CG42343, NRM, CG17839, STRN-MLCK, CG16857, DPR20, CG34391, CG42313, SLS, KEK4, CG31619	642	82	10196	4.648279006154548	5.52858202551576E-7	1.382145793371592E-7	9.56592693945879E-7
INTERPRO	IPR003598:Immunoglobulin subtype 2	25	3.2552083333333335	2.124210259064004E-9	CG14521, IMPL2, VN, CG12484, BT, CG14010, DPR9, DPR, UNC-89, TUTL, STRN-MLCK, CG16857, DPR20, WRAPPER, CG34391, ROBO3, SLS, BSG, KLG, CG12950, HTL, ZORMIN, CG42343, KEK4, CG31619	642	94	10196	4.223835089812421	1.91391160764276E-6	3.82782614605226E-7	3.311581675546904E-6
SMART	SM00408:IGc2	25	3.2552083333333335	7.174294935731285E-9	CG14521, IMPL2, VN, CG12484, BT, CG14010, DPR9, DPR, UNC-89, TUTL, STRN-MLCK, CG16857, DPR20, WRAPPER, CG34391, ROBO3, SLS, BSG, KLG, CG12950, HTL, ZORMIN, CG42343, KEK4, CG31619	328	94	4824	3.911520498183705	1.1765836814836561E-6	5.882920137700864E-7	8.699402676004553E-6
INTERPRO	IPR013098:Immunoglobulin I-set	16	2.083333333333333	1.4918649908115172E-6	CG14964, CG14521, IMPL2, BT, CG12950, CG14010, ZORMIN, UNC-89, TUTL, STRN-MLCK, CG16857, WRAPPER, CG34391, ROBO3, CG42313, SLS	642	57	10196	4.457998579002022	0.0013432683656577904	2.2400346736628496E-4	0.0023257486236105684
INTERPRO	IPR013106:Immunoglobulin V-set	12	1.5625	9.800817693405095E-5	DPR9, DPR, CG13506, KLG, NRM, TUTL, CG16857, DPR20, CG12484, WRAPPER, CG12950, HTL	642	46	10196	4.14303128809427	0.08452268595248447	0.012536426732655315	0.15268269357180397
INTERPRO	IPR003961:Fibronectin, type III	14	1.8229166666666667	1.415355510747203E-4	CG14964, KLG, BT, CG12484, CG12950, CAD99C, UNC-89, CG17839, TUTL, STRN-MLCK, CG16857, WRAPPER, ROBO3, SLS	642	64	10196	3.4741043613707165	0.11973524334741026	0.01581517532733978	0.22042211830818337
SMART	SM00060:FN3	14	1.8229166666666667	2.8016232288389814E-4	CG14964, KLG, BT, CG12484, CG12950, CAD99C, UNC-89, CG17839, TUTL, STRN-MLCK, CG16857, WRAPPER, ROBO3, SLS	328	64	4824	3.2172256097560976	0.044913205570126014	0.015200967097969698	0.339190134949241
SP_PIR_KEYWORDS	Immunoglobulin domain	10	1.3020833333333335	0.001190756956084225	IMPL2, NRM, TUTL, VN, CG12484, CG12950, SLS, HTL, KEK4, HIG	743	47	12980	3.7169611408608003	0.2716183190364535	0.026065124094321268	1.5507770283219924
INTERPRO	IPR008957:Fibronectin, type III-like fold	10	1.3020833333333335	0.0022885417908157166	CG14964, CG17839, UNC-89, TUTL, STRN-MLCK, CG16857, BT, CG12950, ROBO3, SLS	642	47	10196	3.379068071849937	0.873097882600874	0.15804462776083528	3.508820430899029
GOTERM_MF_FAT	GO:0004687~myosin light chain kinase activity	3	0.390625	0.022177181994859164	STRN-MLCK, BT, SLS	504	4	7918	11.782738095238093	0.9999993010825534	0.33299904802882174	28.36465458226325
INTERPRO	IPR013162:CD80-like, immunoglobulin C2-set	4	0.5208333333333333	0.11330575742938816	NRM, CG12484, CG12950, CG42313	642	19	10196	3.3434989342515165	1.0	0.8854789103856101	84.66053613986792

Annotation Cluster 2	Enrichment Score: 5.220164108545864
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0015980~energy derivation by oxidation of organic compounds	34	4.427083333333334	1.9818751047007762E-15	NC73EF, ND23, MTACP1, CG3560, CG4169, CG9485, CG3214, LEVY, GDH, CG6020, PHKGAMMA, PDSW, GPDH, PGM, CYPE, CG3621, L(3)NEO18, COVA, CG3731, CG9140, KDN, CG6463, GPO-1, CG7766, RFESP, CG10219, CG15434, CG12400, CG18809, SDHC, ND75, GLYP, SKAP, CG5028	454	114	7937	5.214042816291831	3.4212632726848824E-12	3.4212632726848824E-12	3.375077994860476E-12
GOTERM_BP_FAT	GO:0006091~generation of precursor metabolites and energy	45	5.859375	6.367340913460462E-14	NC73EF, ND23, MTACP1, CG3560, CG4169, CG9485, CG3214, BLW, CG9813, LEVY, GDH, CG6020, PHKGAMMA, PDSW, GPDH, CYPE, PGM, VHA68-1, CG3621, PGK, L(3)NEO18, CG9140, COVA, CG3731, KDN, ATPSYN-D, OSCP, PYK, L(1)G0230, GPO-1, CG6463, L(2)06225, CG7766, CG10219, RFESP, PGLYM78, CG15434, CG12400, CG18809, SDHC, ND75, GLYP, SKAP, CG5028, CG7834	454	217	7937	3.6253781034937775	1.0910028436228458E-10	5.455014218114229E-11	1.0758061108617767E-10
GOTERM_BP_FAT	GO:0045333~cellular respiration	29	3.7760416666666665	2.715941431453114E-12	NC73EF, ND23, MTACP1, CG3560, CG4169, CG3214, LEVY, GDH, CG6020, PDSW, GPDH, CYPE, CG3621, L(3)NEO18, COVA, CG3731, CG9140, KDN, CG6463, GPO-1, RFESP, CG10219, CG15434, CG12400, CG18809, SDHC, ND75, SKAP, CG5028	454	105	7937	4.828466540801342	4.649686857760571E-9	1.5498956562609578E-9	4.5847659002618E-9
GOTERM_BP_FAT	GO:0022904~respiratory electron transport chain	23	2.994791666666667	6.06997628939405E-11	L(3)NEO18, ND23, CG3731, CG9140, COVA, MTACP1, CG3560, CG4169, CG3214, CG6463, GPO-1, LEVY, CG6020, RFESP, CG15434, CG12400, CG18809, SDHC, ND75, PDSW, GPDH, CYPE, CG3621	454	74	7937	5.433712346707941	1.0391801541498324E-7	2.597950488070211E-8	1.0246714587935912E-7
GOTERM_BP_FAT	GO:0022900~electron transport chain	24	3.125	6.397927405889914E-10	L(3)NEO18, ND23, CG3731, CG9140, COVA, MTACP1, CG3560, CG4169, CG3214, CG6463, GPO-1, LEVY, CG6020, RFESP, CG10219, CG15434, CG12400, CG18809, SDHC, ND75, PDSW, GPDH, CYPE, CG3621	454	90	7937	4.661967694566814	1.0953246301070863E-6	1.5647502060733842E-7	1.080032563383071E-6
GOTERM_BP_FAT	GO:0006119~oxidative phosphorylation	29	3.7760416666666665	9.339528164011251E-10	ND23, MTACP1, CG3560, CG4169, CG3214, BLW, CG9813, LEVY, CG6020, PDSW, CYPE, VHA68-1, CG3621, L(3)NEO18, COVA, CG3731, CG9140, ATPSYN-D, OSCP, L(1)G0230, CG6463, L(2)06225, RFESP, CG15434, CG12400, CG18809, SDHC, ND75, CG7834	454	132	7937	3.840825657455613	1.5989259228854635E-6	1.998658801793951E-7	1.5766033589770245E-6
GOTERM_BP_FAT	GO:0042773~ATP synthesis coupled electron transport	21	2.734375	1.3272632509166779E-9	L(3)NEO18, ND23, CG3731, CG9140, COVA, MTACP1, CG3560, CG4169, CG3214, CG6463, LEVY, CG6020, RFESP, CG15434, CG12400, CG18809, SDHC, ND75, PDSW, CYPE, CG3621	454	71	7937	5.170844449959669	2.272272188186264E-6	2.5247494250812963E-7	2.2405498012467717E-6
