Annotation Cluster 1	Enrichment Score: 16.414588633389315
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0008270~zinc ion binding	309	15.512048192771086	1.552366416963789E-31	CG5708, SINA, CG8089, CG12863, ROQ, OVO, CG8478, ROW, NOI, MOF, DX, PHOL, TFIIB, CG12054, RNO, CG17385, CG8944, KUZ, GEK, SPN-E, SENS, E(BX), U2AF38, ALPHA-MAN-II, ASH1, DEAF1, KEN, CG18764, PIE, CG10321, MOB4, CG17612, SBB, MOB3, SU(VAR)2-10, SBF, CG2025, CG5516, CG6701, RAT1, CG2129, BAP170, CG12788, CG9890, SCAT, CG4291, LID, D19B, HB, FU2, SCE, D19A, AEF1, CG12795, IAP2, MLD, ZF30C, CG15141, CG2116, SCM, CG11906, CG9715, NOA36, PZG, E(VAR)3-9, AATS-ILE, CG1582, OPBP, PHL, CG4282, ARI-2, MES-4, G9A, BRE1, MBD-R2, CG14710, CG4424, CG10654, CG30020, CG1677, CG2712, CG14711, CG6923, CG4813, TGT, CG15011, CG2617, HIP14, DNZ1, CG2926, SF1, CG2199, MKG-P, DWG, BTK29A, STC, CG6813, CG4820, HANG, LOLA, STI, CG9776, FS(1)YA, SU(S), CG1663, GIT, CG9425, CG17359, BX, BR, CG6696, CG9941, POSH, CG17658, CG15715, CG5555, CG10631, RPI1, CENB1A, NUP358, CG3065, CG10366, EAST, BZD, CHM, CHN, CG4936, CG6808, KRIMP, FTZ-F1, CG1024, CG4933, BRAT, MEI-218, SWM, CG5414, DNAPOL-ALPHA180, NOPO, SU(VAR)3-7, CG12236, SU(VAR)3-9, SRY-DELTA, UPF1, CG17568, HYD, CG17361, CG7928, CG18011, PYGO, SPIR, CG, RASSF, MAT1, CG3800, CG18213, MKRN1, CG8677, DAH, LT, MATS, GATAD, CG1529, CG8290, CG2662, TTK, POLYBROMO, CP190, TOP3ALPHA, CG6254, CG10492, CG17328, CG5292, RIPALPHA, AZ2, CG8145, CG11122, CROL, SP1029, CG6654, SQZ, MIB1, CG10979, PP2B-14D, CG8003, MIB2, SU(HW), SLU7, CG15073, NEU2, CG6752, WECH, CG3847, WEK, CG6791, PPS, CG4707, CG9293, CLP, CG1647, CG6470, PAD, TRR, CG32767, E(Y)3, CG4709, WDN, CG10274, EGG, CG11456, ALH, CG4408, TAF1, CG11710, ROC1B, SNAMA, RPA-70, CG8569, CG16863, CG15435, CG15436, CG17829, CG9925, CG11329, CG10462, CG10463, CG11247, CG10669, CG8159, CG42593, CG14200, DPPIII, CG14438, USH, CG18476, CTCF, CG11982, DNAPOL-EPSILON, CG31224, ADA2B, MBM, DROJ2, CAZ, MI-2, FOI, MTA1-LIKE, ACF1, L(3)73AH, CG10144, VFL, APKC, CG10543, CG31365, BON, CG2790, MCM2, FDH, PSC, CG13025, ENOK, CG11586, CG17803, JING, CG3632, CG10147, ECO, CG1602, CG4360, ECR, CG1603, AATS-CYS, DNAPOL-DELTA, CG31109, CG1815, PEP, CG17209, CG2889, CG11696, CG11695, CG11414, WOC, CG3502, KIN17, CG7376, CG10431, REC, CG1407, CHD3, CHORD, NUP153, RPI135, CG7379, SU(Z)12, CBL, CG4730, SIRT6, RBSN-5, SIRT7, CG34401, NEJ, HR78, SOL, RPN11, DBR, TOU, SFMBT, RPI12, CG4365, CG7386, KDM4A	1311	1026	7918	1.8189632484465676	1.3660824469281343E-28	1.3660824469281343E-28	2.412716176224629E-28
INTERPRO	IPR015880:Zinc finger, C2H2-like	132	6.626506024096386	1.7084842635463597E-25	CG8089, CG1529, ROW, OVO, CG8478, TTK, POLYBROMO, NOI, CP190, CG6254, CG17328, PHOL, AZ2, CG12054, CG11122, CG8145, CG17385, CROL, CG8944, SPN-E, SENS, CG6654, SQZ, CG10979, SU(HW), CG15073, NEU2, KEN, CG18764, CG3847, CG10321, CG17612, SBB, CG6791, WEK, CG4707, CG1647, CG6701, CG6470, PAD, CG2129, BAP170, CG32767, WDN, CG10274, CG9890, CG11456, SCAT, D19B, HB, FU2, D19A, AEF1, MLD, CG16863, ZF30C, CG2116, CG11906, CG15435, CG15436, CG17829, CG10462, PZG, CG10669, CG11247, E(VAR)3-9, OPBP, CG8159, CG4282, CG14200, USH, CG14438, CG18476, MBD-R2, CG14710, CTCF, CG4424, CG31224, CG10654, CG30020, CG2712, CG14711, MTA1-LIKE, VFL, CG10543, CG31365, CG2790, CG2199, MKG-P, DWG, CG11586, CG6813, LOLA, HANG, CG4820, CG17803, JING, CG1663, CG9425, CG10147, CG1602, CG17359, CG4360, BR, CG1603, CG15715, CG10631, PEP, CG11696, CG2889, CG11695, CG3065, CG10366, CG11414, CG4936, CHN, CG6808, KIN17, CG1024, CG10431, SU(VAR)3-7, CG12236, SRY-DELTA, CG17568, SU(Z)12, CG4730, CG17361, RBSN-5, CG18011, CG7928, CG, CG7386	1692	324	10196	2.455038963313195	3.182906182986868E-22	3.182906182986868E-22	2.9130911475124084E-22
INTERPRO	IPR007087:Zinc finger, C2H2-type	127	6.375502008032129	2.4631499086201996E-23	CG8089, CG1529, ROW, OVO, CG8478, TTK, CP190, CG6254, CG17328, PHOL, AZ2, CG12054, CG8145, CG11122, CG17385, CROL, CG8944, SPN-E, SENS, CG6654, SQZ, CG10979, SU(HW), CG15073, NEU2, KEN, CG18764, CG3847, CG10321, CG17612, SBB, CG6791, WEK, CG4707, CG1647, CG6701, CG6470, PAD, CG2129, CG32767, WDN, CG10274, CG9890, CG11456, D19B, HB, FU2, D19A, AEF1, MLD, ZF30C, CG2116, CG11906, CG15435, CG15436, CG17829, CG10462, PZG, CG10669, CG11247, E(VAR)3-9, OPBP, CG8159, CG4282, USH, CG14438, CG18476, MBD-R2, CG14710, CTCF, CG4424, CG31224, CG10654, CG30020, CG2712, CG14711, MTA1-LIKE, VFL, CG10543, CG31365, CG2790, CG2199, MKG-P, DWG, CG11586, CG6813, LOLA, HANG, CG4820, CG17803, JING, FS(1)YA, CG1663, CG9425, CG10147, CG1602, CG17359, CG4360, BR, CG1603, CG15715, CG10631, PEP, CG11696, CG2889, CG11695, CG3065, CG10366, CG11414, CHN, CG4936, CG6808, KIN17, CG1024, CG10431, SU(VAR)3-7, CG12236, SRY-DELTA, CG17568, SU(Z)12, CG4730, CG17361, RBSN-5, CG18011, CG7928, CG, CG7386	1692	320	10196	2.3915706264775416	4.588848279759432E-20	2.294424139879716E-20	4.199851498136317E-20
SMART	SM00355:ZnF_C2H2	132	6.626506024096386	5.082672248676403E-20	CG8089, CG1529, ROW, OVO, CG8478, TTK, POLYBROMO, NOI, CP190, CG6254, CG17328, PHOL, AZ2, CG12054, CG11122, CG8145, CG17385, CROL, CG8944, SPN-E, SENS, CG6654, SQZ, CG10979, SU(HW), CG15073, NEU2, KEN, CG18764, CG3847, CG10321, CG17612, SBB, CG6791, WEK, CG4707, CG1647, CG6701, CG6470, PAD, CG2129, BAP170, CG32767, WDN, CG10274, CG9890, CG11456, SCAT, D19B, HB, FU2, D19A, AEF1, MLD, CG16863, ZF30C, CG2116, CG11906, CG15435, CG15436, CG17829, CG10462, PZG, CG10669, CG11247, E(VAR)3-9, OPBP, CG8159, CG4282, CG14200, USH, CG14438, CG18476, MBD-R2, CG14710, CTCF, CG4424, CG31224, CG10654, CG30020, CG2712, CG14711, MTA1-LIKE, VFL, CG10543, CG31365, CG2790, CG2199, MKG-P, DWG, CG11586, CG6813, LOLA, HANG, CG4820, CG17803, JING, CG1663, CG9425, CG10147, CG1602, CG17359, CG4360, BR, CG1603, CG15715, CG10631, PEP, CG11696, CG2889, CG11695, CG3065, CG10366, CG11414, CG4936, CHN, CG6808, KIN17, CG1024, CG10431, SU(VAR)3-7, CG12236, SRY-DELTA, CG17568, SU(Z)12, CG4730, CG17361, RBSN-5, CG18011, CG7928, CG, CG7386	935	324	4824	2.1019607843137256	1.6061244305817432E-17	1.6061244305817432E-17	6.845780830255095E-17
GOTERM_MF_FAT	GO:0046914~transition metal ion binding	341	17.11847389558233	1.6673970951869878E-19	CG5708, SINA, CG8089, CG12863, ROQ, OVO, CG8478, ROW, NOI, DX, MOF, NOX, PGANT35A, PHOL, TFIIB, CG12054, SAD, RNO, CG17385, CG8944, KUZ, GEK, SPN-E, CG13126, SENS, E(BX), U2AF38, CG18234, ALPHA-MAN-II, ASH1, DEAF1, KEN, CG18764, CG10321, PIE, MOB4, CG17612, SBB, MOB3, SU(VAR)2-10, SBF, CG2025, CG5516, CG6701, RAT1, CG2129, BAP170, CG13630, CG12788, CG9890, SCAT, CG4291, LID, MOCS1, D19B, HB, FU2, SCE, D19A, AEF1, CG12795, IAP2, MLD, ZF30C, CG15141, CG2116, SCM, CG11906, CG9715, NOA36, DCP2, PZG, E(VAR)3-9, AATS-ILE, ABL, CG1582, OPBP, PHL, CG4282, ARI-2, MES-4, CG4078, CG32557, G9A, BRE1, RNRS, MBD-R2, CG14710, CG4424, CG10654, CG30020, CG1677, CG2712, CG14711, CG6923, CG4813, TGT, CG15011, CG2617, CG31016, HIP14, DNZ1, CG31013, SF1, CG2926, CG2199, MKG-P, BTK29A, DWG, STC, CG6813, CG4820, HANG, LOLA, STI, CG9776, FS(1)YA, SU(S), CG1663, GIT, CG9425, CG17359, UND, BX, BR, CG6696, CG9941, POSH, CG17658, CG15715, CG5555, CG10631, RPI1, CENB1A, NUP358, CG3065, CG10366, EAST, BZD, CHM, DIB, CHN, CG4936, CG6808, KRIMP, FTZ-F1, CG1024, CG4933, BRAT, PGANT3, MEI-218, SWM, DNAPOL-ALPHA180, CG5414, NOPO, SU(VAR)3-7, CG12236, DNAPOL-ALPHA60, SU(VAR)3-9, SRY-DELTA, UPF1, CG17568, HYD, CG17361, CG7928, PYGO, CG18011, SPIR, CG, RASSF, MAT1, CG3800, CG18213, MKRN1, CG8677, DAH, LT, MATS, GATAD, CG1529, CG8290, CG2662, TTK, POLYBROMO, CP190, CG11257, TOP3ALPHA, CG6254, CG10492, CG17328, CG5292, RIPALPHA, AZ2, CG8145, CG11122, CROL, SP1029, CG6654, SQZ, MIB1, CG10979, PP2B-14D, CG8003, MIB2, SU(HW), SLU7, CG15073, NEU2, CG6752, WECH, CG3847, WEK, CG6791, PPS, CG9293, CG4707, CLP, CG1647, PPV, CG6470, PAD, CYP311A1, TRR, CG32767, E(Y)3, CG4709, DUOX, WDN, CG10274, EGG, CG11456, CG4408, ALH, TAF1, CG11710, ROC1B, SNAMA, RPA-70, CG8569, CG16863, CG13380, PH4ALPHAPV, CG15435, CG15436, CYP6A19, CG17829, CG9925, CG11329, CG10462, CG10463, CG11247, CG10669, CG8159, CG42593, CG14200, DPPIII, USH, CG14438, CG18476, CTCF, DNAPOL-EPSILON, CG11982, CG31224, ADA2B, MBM, DROJ2, CG13667, CAZ, MI-2, FOI, MTA1-LIKE, CG14508, ACF1, L(3)73AH, CG10144, ELP3, VFL, APKC, CG10543, CG31365, BON, CG2790, MCM2, FDH, PSC, CG13025, ENOK, GLCAT-P, CG11586, CG17803, JING, CG3632, CG10147, ECO, DCR-1, CG1602, ECR, CG4360, CG1603, AATS-CYS, DNAPOL-DELTA, CG31109, CG1815, PEP, CYP6V1, CG17209, CG2889, CG11696, CG11695, CG32199, CG11414, WOC, CG3502, KIN17, CG7376, CG10431, REC, CG1407, CHD3, CHORD, NUP153, RPI135, CG7379, SU(Z)12, CBL, CG4730, SIRT6, RBSN-5, SIRT7, CG34401, NEJ, HR78, SOL, RPN11, DBR, TOU, SFMBT, RPI12, CG4365, CG7386, KDM4A	1311	1354	7918	1.5210676167008619	1.4673094437645493E-16	3.668273609411373E-17	2.5914989526866606E-16
INTERPRO	IPR012934:Zinc finger, AD-type	54	2.710843373493976	1.2135651575374113E-18	CG18476, GATAD, CG1529, CG14710, CG4424, CG10654, CG30020, CG6254, CG17328, CG2712, CG14711, CG8145, CG31365, DWG, CG6654, CG4820, CG6813, HANG, CG17803, CG15073, NEU2, CG10147, CG18764, CG17359, CG10321, CG17612, WEK, CG4707, CG1647, CG31109, PAD, CG11696, CG2889, CG11695, CG10366, CG6808, CG4936, CG10274, CG10431, CG17568, D19B, FU2, D19A, CG17361, CG4730, MLD, CG15435, CG15436, DBR, CG10669, E(VAR)3-9, CG8159, CG7386, CG4282	1692	94	10196	3.461747397012222	2.2608718884921973E-15	7.536239628307324E-16	2.0692177228566004E-15
SP_PIR_KEYWORDS	zinc-finger	103	5.170682730923694	1.3472383671613346E-15	MKRN1, SINA, LT, ROQ, OVO, TTK, DX, NOI, MOF, CP190, RIPALPHA, TFIIB, RNO, GEK, SENS, E(BX), SQZ, U2AF38, MIB1, MIB2, SLU7, SU(HW), ASH1, CG6752, KEN, DEAF1, WECH, WEK, RAT1, GFZF, E(Y)3, CG4709, WDN, LID, ROC1B, SNAMA, HB, SCE, AEF1, RPA-70, IAP2, SCM, CG9715, NOA36, CG11329, PHL, USH, ARI-2, MES-4, BRE1, CG11982, ADA2B, CAZ, MI-2, CG4813, CG6923, CG2617, L(3)73AH, CG10144, CG2926, BON, MCM2, CG2199, BTK29A, STC, PSC, CG13025, CG9776, LOLA, HANG, JING, SU(S), ECO, CG6171, ECR, BR, CG9941, POSH, DNAPOL-DELTA, CG5555, PEP, CG11414, CHN, CG7376, FTZ-F1, BRAT, REC, DNAPOL-ALPHA180, CHD3, NOPO, SU(VAR)3-7, UPF1, SRY-DELTA, RPI135, HYD, SU(Z)12, CBL, PYGO, HR78, SOL, SFMBT, MAT1, CG3800	1928	314	12980	2.208387292861485	4.0234482412415673E-13	5.750955267558311E-14	1.787459069646502E-12
SP_PIR_KEYWORDS	zinc	154	7.730923694779117	6.67742746689098E-14	CG5708, CG8677, MKRN1, SINA, LT, MATS, GATAD, ROQ, OVO, TTK, CG2662, MOF, NOI, DX, CP190, RIPALPHA, TFIIB, RNO, GEK, SENS, E(BX), SQZ, U2AF38, MIB1, PP2B-14D, MIB2, CG8003, ALPHA-MAN-II, SU(HW), SLU7, ASH1, CG6752, KEN, DEAF1, WECH, MOB4, MOB3, WEK, SBF, PPS, CG9293, CLP, RAT1, PPV, CG12788, E(Y)3, CG4709, WDN, LID, ALH, ROC1B, SNAMA, HB, SCE, RPA-70, AEF1, CG12795, IAP2, CG8569, SCM, CG9715, CG9925, CG11329, NOA36, CG1582, PHL, DPPIII, ARI-2, USH, MES-4, BRE1, MBD-R2, CG11982, ADA2B, DROJ2, CG1677, CAZ, MI-2, CG4813, CG6923, TGT, FOI, ACF1, CG2617, L(3)73AH, CG10144, HIP14, DNZ1, APKC, CG2926, BON, CG2199, MCM2, BTK29A, FDH, STC, PSC, CG13025, ENOK, CG9776, STI, LOLA, HANG, JING, SU(S), CG3632, ECO, CG6171, BX, ECR, BR, CG6696, POSH, CG9941, AATS-CYS, DNAPOL-DELTA, CG5555, RPI1, CG1815, PEP, CG11414, BZD, CHN, CG7376, FTZ-F1, CG4933, BRAT, REC, SWM, CG1407, DNAPOL-ALPHA180, CHD3, NOPO, SU(VAR)3-7, CG12236, SRY-DELTA, UPF1, HYD, RPI135, CG7379, SU(Z)12, CBL, RBSN-5, PYGO, HR78, SOL, RPN11, RASSF, TOU, SFMBT, MAT1, CG3800, KDM4A, CG18213	1928	577	12980	1.7968530890210488	2.0150769941551516E-11	2.015054789694659E-12	8.925082894961633E-11
GOTERM_MF_FAT	GO:0046872~metal ion binding	386	19.377510040160644	4.3140544044751374E-13	SINA, CG8089, CG12863, ROQ, ROW, DX, DG, TFIIB, CG12054, RNO, KUZ, GEK, SPN-E, SENS, U2AF38, CG18234, ORK1, ALPHA-MAN-II, PELO, ASH1, CG7332, PIE, MOB4, MOB3, N, CG6701, CG5516, CG13630, CG12788, CG4291, HB, D19B, D19A, CG12795, IAP2, CG15141, CG1582, OPBP, PHL, CG4282, ARI-2, MES-4, CG4078, CG32557, BRE1, RNRS, CG14710, CG4424, CG1677, CG6923, CG4813, DAP160, CG14711, CG15011, REPS, CG31016, CG31013, CG2199, MKG-P, DWG, STC, CG6813, STI, LOLA, CG4820, FS(1)YA, CG1663, GIT, BX, BR, POSH, CG15715, CG5555, CENB1A, EAST, BZD, CG6808, CG4936, BRAT, CG4933, SWM, CG5414, EYA, CG12236, DNAPOL-ALPHA60, UPF1, CG18011, SPIR, CG, MAT1, CG18213, DAH, LT, MATS, CG2662, POLYBROMO, CG11257, CG17328, AZ2, JIL-1, CG11122, TAM, CG6654, MIB1, CG10979, MIB2, SU(HW), NEU2, CG6752, CG3847, WECH, WEK, CG6791, CG4707, CG9293, PAD, CALPC, CG32767, CG4709, WDN, CG10274, EGG, CG11456, CG4408, CG11710, TAF1, RPA-70, CG14305, CG15435, PH4ALPHAPV, CYP6A19, CG15436, CG9925, CG11329, CG11247, CG14200, CG18476, CTCF, CG11982, MBT, MBM, ADA2B, CG31224, DROJ2, CAZ, DREF, MTA1-LIKE, ACF1, CG10144, VFL, APKC, CG31365, CG2790, FDH, IAL, CG11586, CG3632, CG10147, ECO, BETA4GALT7, ECR, CG12034, AATS-CYS, RNH1, DNAPOL-DELTA, CG31109, PEP, CG11696, CYP6V1, CG17209, CG2889, CG11695, CG32199, CG11414, CG3502, CG7376, KIN17, REC, CHD3, CG7379, CBL, CG4730, CG34401, NEJ, DBR, RPI12, SFMBT, CG7386, KDM4A, CG5708, CG5706, CG2144, OVO, CG8478, MOF, NOI, SHG, NOX, PGANT35A, PPD3, PHOL, SAD, CG17385, CG8944, CG13126, E(BX), KEN, DEAF1, TCTP, CG18764, CG10321, CG17612, SBB, SBF, SU(VAR)2-10, CG2025, RAT1, CG2129, BAP170, CG9890, SCAT, LID, MOCS1, SCF, FU2, SCE, AEF1, MLD, ZF30C, SCM, CG2116, CG11906, CG9715, NOA36, DCP2, PZG, AATS-ILE, E(VAR)3-9, ABL, CAD74A, G9A, CAD87A, MBD-R2, PTEN, CG10654, CG30020, CG2712, TGT, CG2617, HIP14, DNZ1, CG2926, SF1, BTK29A, HANG, CG9776, CG17746, SU(S), CG9425, CG17359, UND, CG6696, CG9941, CG17658, CG10631, RPI1, EDEM1, CAD99C, NUP358, CG3065, CG10366, CHM, CHN, KRIMP, DIB, FTZ-F1, CG1024, MEI-218, PGANT3, DNAPOL-ALPHA180, NOPO, CAD88C, SU(VAR)3-7, SU(VAR)3-9, SRY-DELTA, CG17568, HYD, CG17361, CG7928, PYGO, RASSF, CIN, CG3800, CG5027, MKRN1, CG8677, GATAD, CG1529, CG8290, TTK, CP190, TOP3ALPHA, CG6254, CG10492, CG5292, RIPALPHA, CG8145, RRP1, CROL, CG13690, SP1029, SQZ, PP2B-14D, CG8003, SLU7, CG15073, TRC, PPS, CG33298, CG1647, CLP, CG6470, PPV, TRR, CYP311A1, E(Y)3, DUOX, ALH, MUD, ROC1B, SNAMA, CG2906, CG8569, CG16863, CG13380, CG16868, CG17829, CG10462, CG10463, CG10669, CG8159, CG42593, DPPIII, CG14438, USH, DNAPOL-EPSILON, CG13667, MI-2, FOI, CG14508, L(3)73AH, ELP3, REV1, CG10543, BON, MCM2, PSC, CG13025, ENOK, GLCAT-P, CG2246, JING, CG17803, DCR-1, CG1602, CG4360, CG1603, COMT, CG1815, WOC, DGT1, CG10431, CG1407, CHORD, NUP153, RPI135, SU(Z)12, RBSN-5, SIRT6, SIRT7, HR78, SOL, RPN11, CRB, TOU, CG4365	1311	1718	7918	1.356990948799848	3.7966074728501553E-10	2.920463870736967E-11	6.705414001828558E-10
GOTERM_MF_FAT	GO:0043169~cation binding	392	19.67871485943775	1.4740623205667857E-12	SINA, CG8089, CG12863, ROQ, ROW, DX, DG, TFIIB, CG12054, RNO, KUZ, GEK, SPN-E, SENS, U2AF38, CG18234, ORK1, ALPHA-MAN-II, PELO, ASH1, CG7332, PIE, MOB4, MOB3, N, CG6701, CG5516, CG13630, CG12788, CG4291, HB, D19B, D19A, CG12795, IAP2, CG15141, CG1582, OPBP, PHL, CG4282, ARI-2, MES-4, CG4078, CG32557, BRE1, RNRS, CG14710, CG4424, CG1677, CG6923, CG4813, DAP160, CG14711, CG15011, REPS, CG31016, CG31013, CG2199, MKG-P, DWG, STC, CG6813, STI, LOLA, CG4820, FS(1)YA, CG1663, GIT, BX, BR, POSH, CG15715, CG5555, CENB1A, EAST, BZD, CG6808, CG4936, BRAT, CG4933, SWM, CG5414, EYA, CG12236, DNAPOL-ALPHA60, UPF1, CG18011, SPIR, CG, MAT1, CG18213, DAH, LT, MATS, CG2662, POLYBROMO, CG11257, CG17328, AZ2, JIL-1, CG11122, TAM, CG6654, MIB1, CG10979, MIB2, SU(HW), NEU2, CG6752, WECH, CG3847, WEK, CG6791, CG4707, CG9293, PAD, CALPC, CG32767, CG4709, WDN, CG10274, EGG, CG11456, CG4408, CG11710, TAF1, RPA-70, CG14305, CG15435, PH4ALPHAPV, CYP6A19, CG15436, CG9925, CG11329, CG11247, CG14200, CG18476, CTCF, CG11982, MBT, MBM, ADA2B, CG31224, DROJ2, CAZ, DREF, MTA1-LIKE, ACF1, CG10144, VFL, APKC, CG31365, CG2790, FDH, IAL, FDL, CG11586, CG3632, CG10147, ECO, BETA4GALT7, ECR, CG12034, AATS-CYS, RNH1, DNAPOL-DELTA, CG31109, PEP, CG11696, CYP6V1, CG17209, CG2889, CG11695, CG32199, CG11414, CG3502, CG7376, KIN17, REC, CHD3, CG7379, CBL, CG4730, CG34401, NEJ, DBR, RPI12, SFMBT, CG7386, KDM4A, CG5708, CG5706, CG2144, OVO, CG8478, CG7997, MOF, NOI, SHG, NOX, PGANT35A, PPD3, PHOL, SAD, CG17385, CG8944, CG7985, CG13126, E(BX), KEN, DEAF1, TCTP, CG18764, CG10321, CG17612, SBB, SBF, SU(VAR)2-10, CG2025, RAT1, CG2129, BAP170, CG8460, CG9890, SCAT, LID, MOCS1, SCF, FU2, SCE, AEF1, MLD, ZF30C, SCM, CG2116, CG11906, CG9715, NOA36, DCP2, PZG, AATS-ILE, E(VAR)3-9, ABL, CAD74A, G9A, CAD87A, MBD-R2, PTEN, CG10654, CG30020, CG2712, TGT, CG2617, HIP14, DNZ1, CG2926, SF1, BTK29A, HANG, CG9776, CG17746, SU(S), CG9425, CG17359, UND, CG6696, CG9941, CG17658, CG10631, RPI1, EDEM1, CAD99C, NUP358, CG3065, CG10366, CHM, CHN, KRIMP, DIB, FTZ-F1, CG1024, MEI-218, PGANT3, DNAPOL-ALPHA180, NOPO, SU(VAR)3-7, CAD88C, SU(VAR)3-9, SRY-DELTA, CG17568, HYD, CG17361, CG7928, PYGO, RASSF, CIN, CG3800, CG5027, MKRN1, CG8677, GATAD, CG1529, CG8290, TTK, CP190, TOP3ALPHA, CG6254, CG10492, CG5292, RIPALPHA, CG8145, RRP1, CROL, CG13690, SP1029, SQZ, PP2B-14D, CG8003, SLU7, CG15073, TRC, PPS, CG33298, CG1647, CLP, CG6470, PPV, TRR, CYP311A1, E(Y)3, DUOX, ALH, MUD, ROC1B, SNAMA, CG2906, CG8569, CG16863, CG13380, CG16868, CG17829, CG10462, CG10463, CG10669, CG8159, CG42593, DPPIII, CG14438, USH, CG6201, DNAPOL-EPSILON, CG13667, MI-2, FOI, CG14508, L(3)73AH, ELP3, REV1, CHT2, CG10543, BON, MCM2, PSC, CG13025, ENOK, GLCAT-P, CG2246, JING, CG17803, DCR-1, CG1602, CG4360, CG1603, COMT, CG1815, WOC, DGT1, CG10431, CG1407, CHORD, NUP153, RPI135, SU(Z)12, RBSN-5, SIRT6, SIRT7, HR78, SOL, RPN11, CRB, TOU, CG4365	1311	1764	7918	1.342147639630477	1.297157936619442E-9	8.64771587671953E-11	2.2909896202349955E-9
