Annotation Cluster 1	Enrichment Score: 6.086596638110905
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00198:SCP	15	1.2106537530266344	4.654059122511726E-9	CG42564, CG31296, CG31286, CG30486, SCPR-C, CG17575, CG10651, CG6628, CG11977, CG34049, CG32313, CG3640, CG32679, CG4270, CG31482	385	28	4824	6.712430426716141	8.284221854060192E-7	8.284221854060192E-7	5.721931406466041E-6
INTERPRO	IPR001283:Allergen V5/Tpx-1 related	15	1.2106537530266344	1.0546413403349496E-8	CG42564, CG31296, CG31286, CG30486, SCPR-C, CG17575, CG10651, CG6628, CG11977, CG34049, CG32313, CG3640, CG32679, CG4270, CG31482	859	28	10196	6.358722767337435	1.0936570958297587E-5	1.0936570958297587E-5	1.6740181363328333E-5
INTERPRO	IPR014044:SCP-like extracellular	15	1.2106537530266344	1.0546413403349496E-8	CG42564, CG31296, CG31286, CG30486, SCPR-C, CG17575, CG10651, CG6628, CG11977, CG34049, CG32313, CG3640, CG32679, CG4270, CG31482	859	28	10196	6.358722767337435	1.0936570958297587E-5	1.0936570958297587E-5	1.6740181363328333E-5
GOTERM_CC_FAT	GO:0005576~extracellular region	33	2.663438256658596	0.8701056114874367	CG42564, ACP53EA, SEMA-2A, OBP99B, CG33276, CG31286, SHF, MANF, JAR, LSP1BETA, SCPR-C, CG6628, CG10651, CG32313, CG3640, CG4270, CG32055, ACER, CG31296, ADGF-E, ACP32CD, ADGF-C, OS, NETA, CHT12, CG30486, RAD, CG17575, CG11977, CG34049, CG32679, ACP26AA, CG31482	354	512	4786	0.8713916843220338	1.0	0.9995054461679591	99.9999999998864

Annotation Cluster 2	Enrichment Score: 4.486650789033659
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0015630~microtubule cytoskeleton	54	4.358353510895883	1.4444422003457022E-15	EB1, CG9279, DHC93AB, GRIP71, SLE, CNN, DHC98D, JAR, BETATUB85D, SAS-6, SUB, CG1571, CYCB, CG3339, KLP3A, CMET, ALPHATUB85E, KLP59D, KLP59C, CG3121, IAL, NCD, PAV, JUPITER, CG7716, CG10839, CG8407, UNC, TTLL3B, CG9313, ASP, CG1890, CG14763, CG17150, DGT5, DGT6, POLO, WAC, MARS, MUD, CG6971, DHC36C, CG31275, DHC62B, DRP1, CG14838, CG3085, CG7794, ANA1, ROBL22E, GAMMATUB37C, CG10859, KAT-60L1, ROBL37BC	354	220	4786	3.3184899845916798	4.57522908448027E-13	4.57522908448027E-13	1.942890293094024E-12
GOTERM_CC_FAT	GO:0044430~cytoskeletal part	57	4.600484261501211	3.150450316978547E-12	EB1, CG9279, DHC93AB, GRIP71, SLE, CNN, DIDUM, DHC98D, JAR, ARP53D, BETATUB85D, SAS-6, SUB, CG1571, CYCB, CG3339, KLP3A, CMET, ALPHATUB85E, KLP59D, KLP59C, CG3121, IAL, NCD, PAV, JUPITER, STI, CG7716, CG10839, CG8407, UNC, TTLL3B, CG9313, ASP, CG1890, CG14763, CG17150, DGT5, DGT6, POLO, WAC, MARS, MUD, CG6971, DHC36C, CG31275, DHC62B, DRP1, CG14838, CG3085, CG7794, ANA1, ROBL22E, GAMMATUB37C, CG10859, KAT-60L1, ROBL37BC	354	287	4786	2.685111911651804	9.987021210022817E-10	4.993510049899896E-10	4.245359619403644E-9
GOTERM_CC_FAT	GO:0005875~microtubule associated complex	33	2.663438256658596	1.5163256003690132E-11	EB1, CG9279, CG9313, DHC93AB, ASP, CNN, DHC98D, JAR, CG14763, SUB, CG17150, CG1571, CG3339, CG6971, KLP3A, DHC36C, CG31275, DHC62B, CG14838, DRP1, CMET, KLP59D, KLP59C, CG3121, NCD, ROBL22E, JUPITER, PAV, KAT-60L1, CG10859, CG10839, CG8407, ROBL37BC	354	115	4786	3.879587324981577	4.806735676154972E-9	1.6022452253849906E-9	2.0432866509878522E-8
GOTERM_BP_FAT	GO:0007018~microtubule-based movement	28	2.2598870056497176	8.702293538522422E-10	CG9279, CG9313, DHC93AB, DHC98D, BETATUB85D, CG14763, SUB, CG17150, CG1571, CG3339, CG6971, KLP3A, DHC36C, CG31275, DHC62B, CG14838, CMET, ALPHATUB85E, KLP59D, KLP59C, CG7794, NCD, ROBL22E, PAV, CG10859, CG10839, CG8407, ROBL37BC	545	104	7937	3.920889202540579	1.3340606782596964E-6	1.3340606782596964E-6	1.4497234523958014E-6
