Annotation Cluster 1	Enrichment Score: 10.89954871785593
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR007110:Immunoglobulin-like	67	3.343313373253493	1.876971261791495E-19	PVR, CG31814, DPR13, DPR19, VN, CG14372, CG12484, DPR18, DSCAM3, CG6867, CG17839, TUTL, CG16857, ROBO, ROBO3, SLS, PTP99A, BSG, BEAT-IIIC, CG10186, HIG, FAS2, FAS3, NRM, CG42343, CG5597, KIRRE, BEAT-VC, BEAT-IIIA, KEK2, BEAT-VA, KEK4, RST, NRG, CG14964, CG14521, CG34114, CG34113, DPR4, HBS, DPR2, PXN, DPR3, DPR9, CG14010, DPR, CG6044, UNC-89, PPN, STRN-MLCK, DPR20, CG34391, SNS, WRAPPER, CG13506, KLG, CG13532, CG31646, BEAT-IC, CG12950, CG8964, HTL, LEA, CG11320, UNC-5, ZORMIN, CG31619	1670	132	10196	3.0989475594266014	2.8680120880174043E-16	2.8680120880174043E-16	3.1256323410191066E-16
INTERPRO	IPR013783:Immunoglobulin-like fold	58	2.8942115768463075	3.576778013196508E-16	PVR, CG31814, CG5984, DPR13, DPR19, VN, CG14372, CG12484, DSCAM3, CG6867, CG17839, TUTL, CG16857, ROBO, ROBO3, SLS, BSG, FAS2, NRM, CG42343, NFAT, KIRRE, KEK4, RST, NRG, CG14964, CG14521, CG34114, CG34113, DPR4, HBS, PXN, DPR2, DPR9, CG14010, DPR, JBUG, UNC-89, REL, PPN, CG11619, STRN-MLCK, DPR20, CG34391, SNS, WRAPPER, CG13506, KLG, CG31646, DIF, CG12950, CG8964, HTL, LEA, CG11320, UNC-5, ZORMIN, CG31619	1670	117	10196	3.026603203848713	5.089262344881718E-13	2.544631172440859E-13	5.551115123125783E-13
INTERPRO	IPR003599:Immunoglobulin subtype	49	2.4451097804391217	3.2224934129306465E-14	CG31814, PVR, DPR13, DPR19, CG12484, DPR18, CG14372, CG17839, TUTL, CG16857, ROBO3, SLS, PTP99A, BSG, BEAT-IIIC, HIG, FAS2, NRM, CG42343, KIRRE, BEAT-IIIA, BEAT-IIA, RST, NRG, CG14964, CG14521, CG34114, CG34113, HBS, PXN, DPR2, DPR3, DPR9, CG14010, DPR, UNC-89, STRN-MLCK, DPR20, WRAPPER, SNS, CG34391, CG13506, CG31646, CG8964, CG12950, HTL, CG11320, LEA, ZORMIN	1670	97	10196	3.0841656892400766	4.9196202667189937E-11	1.63987712298308E-11	5.361266985914881E-11
SMART	SM00409:IG	49	2.4451097804391217	5.835815613411911E-14	CG31814, PVR, DPR13, DPR19, CG12484, DPR18, CG14372, CG17839, TUTL, CG16857, ROBO3, SLS, PTP99A, BSG, BEAT-IIIC, HIG, FAS2, NRM, CG42343, KIRRE, BEAT-IIIA, BEAT-IIA, RST, NRG, CG14964, CG14521, CG34114, CG34113, HBS, PXN, DPR2, DPR3, DPR9, CG14010, DPR, UNC-89, STRN-MLCK, DPR20, WRAPPER, SNS, CG34391, CG13506, CG31646, CG8964, CG12950, HTL, CG11320, LEA, ZORMIN	811	97	4824	3.0047669289536914	1.4190648656153826E-11	1.4190648656153826E-11	7.55284723652494E-11
INTERPRO	IPR003598:Immunoglobulin subtype 2	47	2.345309381237525	1.8688845996334283E-13	PVR, CG31814, DPR13, CG14521, DPR19, VN, CG14372, CG12484, DSCAM3, CG34114, DPR4, HBS, DPR2, PXN, CG6867, DPR9, CG14010, DPR, UNC-89, PPN, TUTL, STRN-MLCK, CG16857, DPR20, ROBO, CG34391, SNS, WRAPPER, ROBO3, SLS, BSG, KLG, CG31646, CG8964, CG12950, HTL, LEA, CG11320, UNC-5, FAS2, ZORMIN, CG42343, KEK2, RST, NRG, KEK4, CG31619	1670	94	10196	3.052694610778443	2.8550761754786436E-10	7.137690438696609E-11	3.1115110488144637E-10
SMART	SM00408:IGc2	47	2.345309381237525	3.3540450652912145E-13	PVR, CG31814, DPR13, CG14521, DPR19, VN, CG14372, CG12484, DSCAM3, CG34114, DPR4, HBS, DPR2, PXN, CG6867, DPR9, CG14010, DPR, UNC-89, PPN, TUTL, STRN-MLCK, CG16857, DPR20, ROBO, CG34391, SNS, WRAPPER, ROBO3, SLS, BSG, KLG, CG31646, CG8964, CG12950, HTL, LEA, CG11320, UNC-5, FAS2, ZORMIN, CG42343, KEK2, RST, NRG, KEK4, CG31619	811	94	4824	2.9741060419235508	8.150180530464013E-11	4.0750847141168833E-11	4.3376413572104866E-10
INTERPRO	IPR013151:Immunoglobulin	42	2.095808383233533	1.5636383700966925E-12	PVR, CG31814, DPR13, CG14521, DPR19, VN, CG14372, CG12484, DPR18, CG34114, DSCAM3, CG34113, DPR4, HBS, CG6867, DPR9, CG14010, DPR, CG17839, PPN, STRN-MLCK, CG16857, DPR20, ROBO, CG34391, SNS, SLS, BSG, CG13506, KLG, CG31646, CG12950, HTL, CG11320, FAS2, NRM, CG42343, KIRRE, RST, NRG, KEK4, CG31619	1670	82	10196	3.1271505768949908	2.3892390288438037E-9	4.778477613598398E-10	2.6038504685743646E-9
INTERPRO	IPR013106:Immunoglobulin V-set	29	1.4471057884231537	1.0903306311439573E-11	PVR, CG31814, DPR13, DPR19, CG12484, CG14372, CG34113, DPR4, HBS, DPR2, DPR3, DPR9, DPR, TUTL, CG16857, DPR20, WRAPPER, SNS, CG13506, KLG, CG31646, CG8964, CG12950, HTL, CG11320, NRM, KIRRE, BEAT-IIIA, RST	1670	46	10196	3.849049726633689	1.6660209101182488E-8	2.776701535367465E-9	1.8156720571482765E-8
SP_PIR_KEYWORDS	Immunoglobulin domain	26	1.2974051896207583	9.16995634469059E-10	PVR, OTK, VN, CG12484, CG14372, CG34114, DPR4, HBS, PXN, PPN, TUTL, SNS, SLS, CG12950, HTL, HIG, UNC-5, FAS2, FAS3, NRM, KIRRE, BEAT-IIIA, KEK2, NRG, RST, KEK4	1930	47	12980	3.7204277367434684	3.1728042415579694E-7	6.345609293578747E-8	1.2520122938397549E-6
INTERPRO	IPR013098:Immunoglobulin I-set	29	1.4471057884231537	9.088982423913474E-9	CG14964, PVR, CG14521, DSCAM3, PXN, CG6867, CG14010, PPN, UNC-89, TUTL, STRN-MLCK, CG16857, ROBO, WRAPPER, SNS, CG34391, ROBO3, SLS, CG31646, CG8964, CG12950, LEA, UNC-5, FAS2, ZORMIN, KIRRE, KEK2, NRG, RST	1670	57	10196	3.1062506565815737	1.3887868817841209E-5	1.9839930683884788E-6	1.5135455755377336E-5
INTERPRO	IPR008957:Fibronectin, type III-like fold	23	1.1477045908183632	1.0228198620368036E-6	CG14964, CG14372, CG34114, DSCAM3, CG12950, HBS, LEA, FAS2, UNC-89, CG17839, TUTL, STRN-MLCK, SEV, TRIM9, CG16857, ROBO, PTP52F, SNS, WSCK, ROBO3, SLS, PTP99A, NRG	1670	47	10196	2.987743661612944	0.0015616489038199344	1.1162730838309987E-4	0.0017032403818784125
INTERPRO	IPR003961:Fibronectin, type III	26	1.2974051896207583	1.0986221567852927E-5	CG14964, CG12484, CG14372, DSCAM3, CG34114, HBS, CG17839, UNC-89, STRN-MLCK, TUTL, SEV, TRIM9, CG16857, PTP52F, ROBO, WRAPPER, SNS, ROBO3, SLS, PTP99A, KLG, CG12950, LEA, FAS2, WSCK, NRG	1670	64	10196	2.480314371257485	0.016646921580022123	9.321785163461938E-4	0.018293267350522058
